,age,occupation_level,education_num,familiarity_FB,view_FB,interested_insurance,years_with_employer,hours_per_week,sex,demographic_characteristic,yearly_salary_estimate,capital_estimate,capital_evaluation,hours_band,marital_status_Divorced,marital_status_Married-AF-spouse,marital_status_Married-civ-spouse,marital_status_Married-spouse-absent,marital_status_Never-married,marital_status_Separated,marital_status_Widowed,workclass_?,workclass_Federal-gov,workclass_Local-gov,workclass_Private,workclass_Self-emp-inc,workclass_Self-emp-not-inc,workclass_State-gov,workclass_Without-pay
1577,47,8,17,9,4,0,2,60,0,162924,23203.68,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
690,37,12,14,9,10,1,4,24,1,280282,48514.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
745,73,7,12,5,7,1,2,40,0,177387,22934.28,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2217,39,6,17,10,10,1,7,60,0,329980,20660.0,1,-2415,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2387,49,7,13,9,5,0,1,40,1,23074,18275.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2603,40,8,12,8,9,1,5,60,0,146659,21524.43,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
877,47,3,12,8,6,1,0,40,1,335973,20327.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
328,40,7,14,3,7,0,0,40,0,96129,21844.05,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1260,53,11,13,8,7,1,13,45,0,34368,33769.51,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1168,43,6,12,6,2,1,9,45,0,85995,19402.86,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2143,36,4,17,3,7,1,7,40,0,241962,20088.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1637,19,2,13,6,5,0,0,36,0,418324,13602.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2180,35,5,20,8,2,0,11,35,0,356250,20863.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1589,29,9,12,8,4,0,1,40,0,52199,22660.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2659,61,10,13,4,3,0,9,44,0,716416,37015.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2018,45,8,13,6,8,0,2,40,1,207847,24986.76,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1474,19,2,13,9,4,0,1,20,0,323421,17658.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
398,23,6,13,2,1,1,1,40,0,81281,19084.8,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2539,50,11,13,1,4,1,6,45,0,121685,28752.08,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2210,48,3,12,6,3,1,2,55,1,80651,21436.0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2252,47,1,12,8,5,0,16,40,0,174525,15293.5,1,3942,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2093,35,12,9,3,8,1,10,90,0,199288,39715.0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1595,59,10,12,6,8,0,28,40,0,147707,30916.0,1,-2339,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1175,35,4,16,7,7,0,6,55,0,327120,19023.5,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
947,43,10,12,1,8,0,19,35,0,277647,29178.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1858,37,6,17,7,2,0,3,30,1,86150,22365.45,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2027,25,7,12,3,1,0,2,40,0,73289,22721.52,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2417,40,6,12,3,8,0,4,40,1,218903,19589.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
829,51,13,1,4,3,1,1,40,0,241843,42321.52,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1746,26,14,12,3,4,0,1,40,1,103148,57799.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
22,59,2,12,9,5,1,7,40,1,109015,15572.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
634,40,6,14,10,6,1,1,40,0,144995,21123.0,1,4386,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2686,37,10,14,9,8,0,6,52,1,267086,27170.0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2532,69,3,13,7,7,0,15,15,1,69306,18710.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2440,25,2,13,7,4,0,3,48,0,186925,15956.0,1,2597,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1658,53,5,5,5,1,0,8,40,0,121618,17796.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1921,49,8,12,7,3,1,1,40,0,122493,24223.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1747,39,8,13,4,3,1,9,45,0,165186,31054.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
275,39,13,18,9,6,0,4,40,1,157443,46108.5,1,3464,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1047,20,8,14,6,9,1,1,30,0,411862,22013.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2688,26,8,12,5,3,0,1,40,0,96130,24871.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
58,42,14,21,6,8,1,9,45,0,116632,63835.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2333,45,14,13,8,2,0,0,40,0,102308,61048.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1253,31,13,12,9,9,1,12,50,0,66815,45876.24,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
697,43,14,13,5,2,0,3,40,0,146908,64814.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1298,25,3,12,3,6,1,2,45,0,221757,17799.0,1,3325,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1400,19,6,17,1,6,1,1,40,1,62534,17407.92,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
419,37,16,12,7,7,0,1,60,1,126708,74121.0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1066,39,4,12,5,8,0,2,60,0,33886,21494.5,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2204,31,8,14,3,7,0,7,20,0,122749,24315.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
679,34,12,12,5,8,0,2,40,0,119411,44699.1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2176,41,3,12,7,4,0,13,40,1,154194,16405.5,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2593,81,8,6,9,2,0,0,5,1,114670,28839.5,1,2062,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
203,31,11,13,4,4,1,2,40,0,197860,26896.92,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
